iter	RMSE
0	9025.620101
1	8450.929395
2	7945.94308
3	7506.637381
4	7119.447948
5	6782.800511
6	6484.093798
7	6207.92454
8	5960.025101
9	5745.258071
10	5546.328167
11	5370.60112
12	5225.630693
13	5073.56379
14	4945.318207
15	4826.475919
16	4711.759138
17	4620.169455
18	4546.322461
19	4475.621425
20	4404.446472
21	4347.351468
22	4285.372057
23	4236.815622
24	4178.699225
25	4127.148004
26	4092.768245
27	4063.172849
28	4025.334293
29	3994.170908
30	3970.7197
31	3935.15366
32	3915.688318
33	3891.841976
34	3861.900532
35	3840.369959
36	3816.444312
37	3798.301343
38	3784.823037
39	3765.932219
40	3746.789632
41	3733.401737
42	3707.697966
43	3672.689561
44	3658.764043
45	3649.294642
46	3636.642413
47	3627.004044
48	3608.578421
49	3586.687202
50	3563.443768
51	3534.191348
52	3522.173554
53	3509.129279
54	3494.123211
55	3484.786467
56	3461.449574
57	3450.260978
58	3439.256325
59	3425.315794
60	3420.682902
61	3399.473347
62	3393.899865
63	3379.584995
64	3374.720905
65	3365.31523
66	3349.224708
67	3344.394257
68	3334.13172
69	3313.752822
70	3299.246401
71	3293.387424
72	3290.227139
73	3276.570022
74	3268.41552
75	3250.520425
76	3241.736118
77	3230.203599
78	3220.295262
79	3206.515406
80	3201.689393
81	3192.350854
82	3188.190592
83	3183.321558
84	3174.164662
85	3166.876271
86	3162.878001
87	3159.392728
88	3152.560618
89	3138.75114
90	3132.429029
91	3127.830522
92	3119.540299
93	3113.663987
94	3101.501715
95	3095.403647
96	3079.777079
97	3071.755184
98	3063.992176
99	3052.067592
