iter	Passed	Remaining
0	188	18653
1	343	16832
2	484	15674
3	619	14863
4	765	14549
5	927	14523
6	1077	14312
7	1222	14063
8	1395	14112
9	1539	13859
10	1686	13642
11	1838	13479
12	1979	13248
13	2150	13212
14	2290	12981
15	2434	12780
16	2573	12562
17	2721	12397
18	2861	12200
19	2996	11984
20	3131	11779
21	3274	11609
22	3414	11431
23	3555	11259
24	3702	11108
25	3845	10944
26	3987	10782
27	4120	10595
28	4255	10417
29	4402	10271
30	4536	10098
31	4685	9956
32	4818	9783
33	4958	9625
34	5099	9470
35	5233	9304
36	5369	9143
37	5503	8978
38	5649	8836
39	5801	8702
40	5949	8561
41	6108	8434
42	6252	8288
43	6403	8150
44	6551	8007
45	6701	7866
46	6846	7720
47	6991	7573
48	7134	7426
49	7276	7276
50	7420	7129
51	7564	6982
52	7709	6837
53	7848	6685
54	7983	6531
55	8122	6382
56	8260	6231
57	8410	6090
58	8550	5941
59	8689	5793
60	8836	5649
61	8980	5504
62	9120	5356
63	9263	5210
64	9405	5064
65	9544	4916
66	9682	4769
67	9828	4625
68	9963	4476
69	10095	4326
70	10230	4178
71	10364	4030
72	10504	3885
73	10650	3741
74	10794	3598
75	10938	3454
76	11081	3309
77	11215	3163
78	11360	3019
79	11505	2876
80	11641	2730
81	11777	2585
82	11920	2441
83	12065	2298
84	12200	2153
85	12344	2009
86	12486	1865
87	12623	1721
88	12768	1578
89	12911	1434
90	13054	1291
91	13189	1146
92	13324	1002
93	13460	859
94	13593	715
95	13726	571
96	13858	428
97	13995	285
98	14126	142
99	14262	0
